Location;Date Time;Temperature;Humidity
E.C.0.B;2020-04-03 23:10:00;14,27;64,83
B.E.0.C;2020-04-04 00:59:00;18,75;75,89
D.B.S.D;2020-04-04 01:16:00;34,94;39,97
A.C.2.C;2020-04-04 01:55:00;28,33;59,45
D.E.S.A;2020-04-04 01:58:00;27,28;63,18
A.C.0.C;2020-04-04 01:58:00;31,48;94,01
C.B.S.E;2020-04-04 02:01:00;10,95;99,21
B.B.3.E;2020-04-04 02:14:00;20,34;20,24
E.E.2.C;2020-04-04 02:32:00;16,47;91,81
C.E.1.E;2020-04-04 02:34:00;16,76;98,06
C.E.3.A;2020-04-04 02:55:00;12,87;40,52
D.A.3.E;2020-04-04 03:22:00;35,43;94,87
A.B.0.D;2020-04-04 03:45:00;11,22;52,89
E.B.2.D;2020-04-04 04:23:00;12,86;39,77
E.A.S.B;2020-04-04 05:11:00;34,04;18,46
B.D.S.D;2020-04-04 06:21:00;24,85;48,79
C.E.1.D;2020-04-04 06:33:00;26,1;19,19
A.D.3.E;2020-04-04 06:50:00;15,1;57,54
B.E.S.B;2020-04-04 07:32:00;29,38;82,29
C.C.S.B;2020-04-04 07:50:00;15,3;92,49
D.E.1.B;2020-04-04 07:57:00;26,71;25,8
A.A.2.C;2020-04-04 08:17:00;33,27;76,63
E.C.2.D;2020-04-04 10:07:00;28,22;12,21
D.C.3.A;2020-04-04 11:03:00;34,62;26,25
D.A.1.C;2020-04-04 11:13:00;12,76;58,79
D.B.S.E;2020-04-04 11:40:00;28,85;41,01
A.A.S.E;2020-04-04 13:12:00;17,18;41,74
B.B.3.D;2020-04-04 14:37:00;17,19;0,12
E.C.2.B;2020-04-04 14:54:00;13,22;49,55
D.C.2.D;2020-04-04 15:24:00;18,44;11,03
D.C.0.C;2020-04-04 15:48:00;17,81;72,28
A.E.2.C;2020-04-04 16:10:00;24,73;64,85
A.D.3.A;2020-04-04 18:03:00;30,32;28,86
A.B.1.D;2020-04-04 18:23:00;15,34;48,03
B.B.3.A;2020-04-04 18:44:00;32,91;13,56
A.D.0.B;2020-04-04 19:10:00;23,47;1,23
B.E.0.D;2020-04-04 19:44:00;17,11;11,62
E.A.0.D;2020-04-04 20:21:00;21,63;38,31
B.A.S.E;2020-04-04 20:21:00;31,67;80,19
C.E.2.E;2020-04-04 21:02:00;26,13;49,38
A.E.S.C;2020-04-04 21:10:00;32,72;1,07
E.C.1.D;2020-04-04 21:36:00;13,73;60,01
A.B.2.B;2020-04-04 22:18:00;16,75;99,25
A.C.2.B;2020-04-04 22:21:00;11,13;13,47
B.B.2.D;2020-04-04 22:53:00;31,99;71,44
D.E.0.D;2020-04-04 23:02:00;33,04;26,2
C.D.0.C;2020-04-05 01:14:00;24,36;13,68
C.B.S.E;2020-04-05 01:33:00;11,82;15,87
C.D.2.B;2020-04-05 02:19:00;26,57;80,08
C.E.1.C;2020-04-05 03:23:00;26,52;1,03
D.C.3.C;2020-04-05 04:04:00;26,26;39,09
A.B.S.E;2020-04-05 05:30:00;15,87;46,52
C.A.0.D;2020-04-05 05:59:00;12,74;87,13
B.B.S.E;2020-04-05 06:08:00;13,32;95,79
A.B.3.D;2020-04-05 07:01:00;23,54;88,96
A.A.0.A;2020-04-05 07:11:00;27,85;34,7
E.A.S.C;2020-04-05 07:26:00;29,31;68,43
B.D.1.A;2020-04-05 07:32:00;16,5;66,5
B.B.S.E;2020-04-05 09:14:00;36,61;9,8
B.B.1.B;2020-04-05 09:21:00;16,42;4,61
B.C.1.B;2020-04-05 09:22:00;30,74;65,09
E.D.1.E;2020-04-05 09:31:00;26,31;58,58
B.A.3.D;2020-04-05 10:12:00;18,92;20,04
C.B.S.B;2020-04-05 10:20:00;31,45;39,42
B.D.0.E;2020-04-05 10:40:00;36,45;69,04
E.A.3.B;2020-04-05 10:55:00;31,59;40,98
E.C.3.B;2020-04-05 12:46:00;31,79;87,91
D.E.1.D;2020-04-05 13:19:00;22,87;1,28
D.C.1.E;2020-04-05 14:03:00;26,0;19,29
D.D.1.A;2020-04-05 14:06:00;10,47;64,12
A.B.2.D;2020-04-05 14:18:00;35,55;17,66
E.A.S.C;2020-04-05 15:31:00;36,43;72,22
E.B.0.E;2020-04-05 16:34:00;13,12;84,48
C.E.2.C;2020-04-05 16:48:00;33,18;29,23
B.D.1.E;2020-04-05 17:06:00;33,99;91,51
D.C.3.C;2020-04-05 17:47:00;28,69;71,96
A.A.2.C;2020-04-05 18:02:00;11,72;3,16
D.A.0.E;2020-04-05 18:19:00;25,15;77,41
A.B.1.D;2020-04-05 18:44:00;17,96;84,35
E.E.3.B;2020-04-05 19:07:00;22,9;37,8
C.D.2.B;2020-04-05 19:22:00;27,72;29,88
E.D.1.C;2020-04-05 19:47:00;26,63;46,74
D.E.2.C;2020-04-05 20:52:00;24,82;71,52
C.B.S.C;2020-04-05 20:59:00;23,22;30,38
A.A.S.C;2020-04-05 21:20:00;21,76;21,01
E.D.2.D;2020-04-05 22:38:00;23,99;42,59
E.D.2.C;2020-04-05 22:40:00;20,82;83,38
C.B.2.C;2020-04-05 22:55:00;20,69;48,54
E.E.1.B;2020-04-06 00:16:00;30,68;77,32
A.B.0.E;2020-04-06 00:18:00;25,26;69,26
A.E.3.E;2020-04-06 01:18:00;10,55;35,04
D.B.2.C;2020-04-06 01:31:00;13,95;85,61
B.A.0.A;2020-04-06 02:04:00;22,11;4,33
B.A.S.A;2020-04-06 02:17:00;35,96;26,8
E.E.1.B;2020-04-06 03:21:00;33,24;55,93
B.E.2.E;2020-04-06 05:23:00;17,69;44,67
D.A.3.A;2020-04-06 05:59:00;35,28;56,13
B.A.1.B;2020-04-06 06:02:00;18,84;49,66
B.D.S.E;2020-04-06 07:24:00;13,91;45,96
D.A.3.B;2020-04-06 07:42:00;36,77;72,16
B.E.1.E;2020-04-06 07:44:00;17,79;13,56
E.B.2.E;2020-04-06 08:06:00;20,61;25,97
B.D.3.B;2020-04-06 08:56:00;26,28;75,06
E.E.2.B;2020-04-06 09:10:00;17,27;34,21
D.E.3.A;2020-04-06 09:57:00;27,02;49,75
C.C.2.E;2020-04-06 10:44:00;29,85;88,17
D.B.2.C;2020-04-06 11:24:00;26,97;90,44
D.B.1.B;2020-04-06 12:27:00;11,7;34,74
E.A.3.D;2020-04-06 12:29:00;10,03;73,2
C.E.2.A;2020-04-06 12:48:00;23,51;93,97
D.D.1.D;2020-04-06 14:07:00;15,12;75,44
D.B.S.E;2020-04-06 14:07:00;26,92;81,38
E.E.S.E;2020-04-06 15:17:00;25,94;29,56
E.D.1.B;2020-04-06 15:20:00;15,05;9,38
D.B.3.E;2020-04-06 16:36:00;18,14;91,08
A.B.1.C;2020-04-06 16:59:00;13,98;1,83
D.B.1.B;2020-04-06 18:07:00;15,19;35,99
D.B.2.E;2020-04-06 18:39:00;26,49;84,52
D.A.0.C;2020-04-06 19:03:00;32,13;73,27
D.B.2.C;2020-04-06 19:23:00;37,19;86,64
A.C.2.E;2020-04-06 19:32:00;28,53;47,87
C.B.S.D;2020-04-06 19:55:00;34,82;78,3
C.B.2.E;2020-04-06 19:55:00;30,99;82,01
A.D.S.D;2020-04-06 21:01:00;15,99;60,1
E.A.1.C;2020-04-06 21:14:00;29,04;89,62
E.B.S.A;2020-04-06 21:17:00;17,18;41,13
D.B.0.D;2020-04-06 22:14:00;22,95;19,25
A.B.3.A;2020-04-06 22:14:00;10,72;99,64
B.B.3.C;2020-04-06 23:24:00;30,95;7,02
D.C.1.D;2020-04-06 23:45:00;24,43;80,46
D.B.S.B;2020-04-06 23:57:00;26,4;96,29
E.A.0.E;2020-04-07 00:02:00;12,61;49,61
B.B.S.B;2020-04-07 00:27:00;18,38;58,18
B.D.3.A;2020-04-07 00:57:00;16,91;18,17
E.D.S.A;2020-04-07 01:00:00;23,2;86,95
B.E.0.D;2020-04-07 02:31:00;13,6;74,72
C.A.0.C;2020-04-07 02:52:00;24,88;6,5
E.D.S.A;2020-04-07 03:00:00;18,7;19,91
E.E.1.E;2020-04-07 03:33:00;29,26;29,5
D.E.0.E;2020-04-07 03:46:00;34,15;17,42
C.A.S.B;2020-04-07 03:57:00;29,7;92,63
C.B.3.B;2020-04-07 04:06:00;30,32;59,18
A.E.1.D;2020-04-07 04:32:00;19,59;46,64
D.E.1.A;2020-04-07 04:46:00;27,65;2,86
E.D.0.D;2020-04-07 05:40:00;22,27;88,97
B.C.0.D;2020-04-07 06:27:00;14,94;56,42
D.D.0.E;2020-04-07 07:29:00;36,45;20,25
B.C.0.E;2020-04-07 08:09:00;35,18;48,51
D.A.3.D;2020-04-07 08:28:00;18,2;56,41
E.C.S.C;2020-04-07 09:05:00;27,76;46,62
E.C.2.E;2020-04-07 09:12:00;24,75;13,1
B.A.3.D;2020-04-07 09:23:00;15,33;79,04
D.B.0.C;2020-04-07 09:40:00;11,14;47,74
A.B.2.E;2020-04-07 10:25:00;31,93;55,16
E.E.1.B;2020-04-07 11:36:00;29,6;12,13
C.B.S.B;2020-04-07 12:31:00;37,47;65,98
D.E.3.A;2020-04-07 12:40:00;26,87;38,51
E.E.0.E;2020-04-07 12:48:00;15,57;76,02
D.E.S.B;2020-04-07 13:31:00;13,05;60,23
A.A.S.C;2020-04-07 13:52:00;18,06;93,43
C.D.S.C;2020-04-07 13:55:00;12,19;3,64
C.C.3.C;2020-04-07 14:15:00;21,98;2,57
C.D.2.E;2020-04-07 14:21:00;15,21;89,36
C.E.0.A;2020-04-07 14:48:00;15,56;99,42
C.B.1.C;2020-04-07 15:02:00;30,88;80,15
A.D.S.E;2020-04-07 15:19:00;31,15;10,81
A.C.S.A;2020-04-07 15:38:00;25,11;12,9
D.C.1.A;2020-04-07 15:55:00;17,95;68,37
B.A.0.D;2020-04-07 17:30:00;21,51;11,41
E.D.1.D;2020-04-07 17:55:00;19,72;54,07
A.E.2.E;2020-04-07 19:45:00;34,93;10,79
D.B.0.B;2020-04-07 20:51:00;11,96;46,47
A.B.0.E;2020-04-07 22:07:00;16,89;39,47
C.C.0.A;2020-04-07 22:39:00;34,19;67,41
E.D.1.C;2020-04-07 22:58:00;24,19;20,16
D.E.1.A;2020-04-07 23:18:00;11,04;71,16
B.B.1.C;2020-04-07 23:57:00;27,14;76,89
E.B.2.D;2020-04-08 00:03:00;17,59;17,92
C.A.3.D;2020-04-08 01:36:00;24,57;90,02
B.C.1.B;2020-04-08 01:55:00;30,75;68,93
D.E.0.E;2020-04-08 02:28:00;27,56;2,9
A.C.0.B;2020-04-08 02:30:00;36,79;92,13
A.D.2.C;2020-04-08 03:01:00;34,59;19,75
C.D.2.E;2020-04-08 03:46:00;19,13;57,52
A.D.2.E;2020-04-08 03:47:00;13,39;10,46
C.C.1.E;2020-04-08 04:33:00;13,42;87,08
B.E.S.D;2020-04-08 05:02:00;24,93;68,05
B.B.1.E;2020-04-08 05:24:00;17,93;85,75
D.A.S.B;2020-04-08 06:15:00;31,26;2,97
C.A.S.C;2020-04-08 06:22:00;28,42;60,31
E.A.2.D;2020-04-08 06:51:00;17,33;83,35
A.A.2.E;2020-04-08 06:59:00;28,82;83,12
E.A.S.C;2020-04-08 07:22:00;12,8;27,08
E.D.S.D;2020-04-08 07:55:00;24,73;93,3
D.E.2.A;2020-04-08 09:40:00;21,71;57,3
E.E.0.B;2020-04-08 09:53:00;26,8;0,78
A.A.S.C;2020-04-08 10:00:00;30,69;30,2
B.B.2.A;2020-04-08 10:50:00;26,62;33,27
B.A.0.E;2020-04-08 12:15:00;36,61;33,54
B.C.S.C;2020-04-08 12:40:00;32,99;11,28
D.B.2.E;2020-04-08 13:16:00;26,3;21,69
A.C.3.D;2020-04-08 13:32:00;17,14;16,96
D.C.0.E;2020-04-08 14:14:00;12,13;25,86
C.A.3.D;2020-04-08 14:50:00;19,63;28,38
D.D.1.B;2020-04-08 15:58:00;19,53;7,49
A.E.2.B;2020-04-08 16:24:00;30,45;67,11
D.C.3.A;2020-04-08 17:08:00;31,38;0,7
A.B.0.B;2020-04-08 17:21:00;23,64;20,28
C.D.1.D;2020-04-08 17:23:00;35,72;13,91
B.A.0.B;2020-04-08 17:37:00;37,08;80,65
C.E.S.E;2020-04-08 17:43:00;25,75;2,26
B.D.1.D;2020-04-08 18:04:00;23,73;9,41
D.A.S.E;2020-04-08 18:09:00;12,77;66,36
A.B.2.E;2020-04-08 18:11:00;22,32;43,57
D.D.S.E;2020-04-08 18:28:00;25,65;40,55
D.B.S.D;2020-04-08 18:54:00;13,01;50,76
A.B.1.C;2020-04-08 19:38:00;20,25;9,26
C.C.0.E;2020-04-08 19:55:00;18,65;49,3
A.B.0.A;2020-04-08 20:10:00;29,01;82,05
E.C.3.C;2020-04-08 20:58:00;30,77;71,38
E.C.2.D;2020-04-08 22:00:00;14,24;46,77
E.B.1.C;2020-04-08 23:32:00;23,63;39,86
A.A.0.D;2020-04-09 02:10:00;16,51;21,73
B.E.1.C;2020-04-09 02:14:00;23,95;77,97
A.C.0.B;2020-04-09 03:00:00;23,59;34,05
E.D.0.C;2020-04-09 03:18:00;17,37;87,62
E.A.1.E;2020-04-09 03:57:00;20,23;46,01
E.D.3.C;2020-04-09 04:52:00;25,26;10,72
A.D.3.E;2020-04-09 05:02:00;10,09;52,09
A.D.2.C;2020-04-09 05:21:00;31,33;35,99
A.C.2.D;2020-04-09 05:44:00;13,31;58,41
E.A.1.C;2020-04-09 05:54:00;34,21;98,67
A.C.1.A;2020-04-09 06:26:00;16,12;32,86
C.D.2.A;2020-04-09 06:33:00;33,58;37,94
B.C.0.D;2020-04-09 06:37:00;25,97;74,74
A.E.2.C;2020-04-09 06:53:00;35,61;94,81
A.B.0.B;2020-04-09 07:02:00;25,64;72,69
B.D.S.E;2020-04-09 08:10:00;19,28;55,45
A.E.3.E;2020-04-09 08:26:00;10,46;77,38
E.D.0.D;2020-04-09 08:26:00;12,96;72,85
D.A.S.D;2020-04-09 08:36:00;13,44;8,73
C.C.3.B;2020-04-09 10:17:00;29,92;42,21
B.E.1.D;2020-04-09 10:19:00;23,16;39,64
D.C.3.E;2020-04-09 11:30:00;16,21;98,55
B.C.S.C;2020-04-09 12:06:00;10,75;4,5
E.D.3.C;2020-04-09 12:46:00;21,53;53,29
C.C.0.C;2020-04-09 12:55:00;33,11;21,7
A.D.2.A;2020-04-09 13:08:00;21,06;68,02
A.E.0.E;2020-04-09 15:41:00;18,41;57,27
E.D.3.C;2020-04-09 16:21:00;34,43;88,64
D.A.0.C;2020-04-09 16:26:00;19,84;64,14
C.E.0.E;2020-04-09 17:40:00;33,65;69,52
A.C.2.D;2020-04-09 17:42:00;28,6;89,25
B.D.2.C;2020-04-09 17:54:00;31,51;2,55
A.A.3.D;2020-04-09 19:17:00;31,17;16,05
C.D.2.A;2020-04-09 19:20:00;18,29;68,32
C.A.2.E;2020-04-09 19:29:00;31,82;23,51
E.C.3.A;2020-04-09 19:37:00;31,9;80,23
D.B.2.C;2020-04-09 20:41:00;34,09;31,32
E.C.0.D;2020-04-09 22:09:00;30,39;41,49
B.E.1.A;2020-04-09 22:21:00;15,99;13,79
A.D.1.B;2020-04-09 23:03:00;20,66;28,12
D.E.1.D;2020-04-10 00:14:00;34,03;59,33
B.A.S.E;2020-04-10 00:23:00;34,82;21,76
A.A.3.C;2020-04-10 02:21:00;11,08;72,13
C.D.3.A;2020-04-10 02:57:00;26,4;29,04
E.C.3.B;2020-04-10 03:04:00;25,93;90,13
D.B.0.A;2020-04-10 03:43:00;29,76;50,23
D.B.S.B;2020-04-10 04:03:00;11,6;77,98
B.C.S.D;2020-04-10 04:03:00;19,91;7,66
E.C.0.C;2020-04-10 04:59:00;16,67;11,08
D.A.1.C;2020-04-10 06:02:00;30,34;58,41
D.A.3.C;2020-04-10 06:08:00;12,61;68,25
E.B.1.A;2020-04-10 06:35:00;36,25;5,55
A.E.3.B;2020-04-10 06:49:00;16,65;14,29
B.A.1.E;2020-04-10 08:15:00;16,89;25,25
E.A.0.E;2020-04-10 08:22:00;29,89;32,94
D.C.0.D;2020-04-10 08:53:00;36,14;80,15
A.E.3.A;2020-04-10 08:55:00;24,27;31,14
A.B.S.D;2020-04-10 09:58:00;24,61;46,0
E.A.1.E;2020-04-10 10:25:00;10,69;69,99
A.D.3.C;2020-04-10 10:36:00;14,51;21,98
C.C.3.C;2020-04-10 11:31:00;17,29;46,65
B.E.2.E;2020-04-10 12:13:00;32,63;85,5
B.C.3.B;2020-04-10 14:41:00;14,55;82,43
E.A.3.E;2020-04-10 15:05:00;13,23;0,75
C.A.2.C;2020-04-10 15:06:00;14,19;7,27
A.A.0.D;2020-04-10 15:22:00;18,1;78,53
A.D.1.C;2020-04-10 15:22:00;33,58;33,6
E.B.1.B;2020-04-10 15:26:00;24,1;94,94
D.A.3.D;2020-04-10 15:33:00;14,71;93,8
D.C.S.E;2020-04-10 15:55:00;28,52;28,65
C.B.0.A;2020-04-10 16:21:00;36,38;33,33
B.D.1.D;2020-04-10 16:31:00;10,24;75,69
C.D.1.C;2020-04-10 16:32:00;32,94;85,74
B.B.S.E;2020-04-10 17:21:00;25,78;46,7
B.E.0.B;2020-04-10 17:28:00;30,64;51,64
B.D.3.A;2020-04-10 18:03:00;34,31;54,45
A.E.1.D;2020-04-10 18:23:00;28,21;73,56
B.B.1.B;2020-04-10 18:39:00;30,67;66,13
D.B.1.C;2020-04-10 18:41:00;22,68;5,04
C.A.S.C;2020-04-10 19:15:00;26,89;82,86
A.D.1.B;2020-04-10 19:53:00;20,9;30,66
D.D.1.C;2020-04-10 20:02:00;25,65;27,97
C.D.2.E;2020-04-10 20:40:00;26,44;89,94
E.D.1.C;2020-04-10 21:25:00;26,69;53,02
E.C.2.A;2020-04-10 22:02:00;10,6;92,07
A.E.1.D;2020-04-10 22:22:00;36,33;81,33
C.A.1.A;2020-04-10 23:12:00;26,64;36,33
B.D.1.C;2020-04-10 23:27:00;29,79;60,9
A.A.0.D;2020-04-11 00:41:00;26,11;16,38
B.A.3.B;2020-04-11 01:03:00;24,85;61,98
C.D.3.B;2020-04-11 01:06:00;19,52;76,73
D.C.3.A;2020-04-11 01:53:00;21,26;1,42
E.A.2.B;2020-04-11 02:55:00;32,95;45,61
E.C.1.B;2020-04-11 03:32:00;13,37;14,71
B.B.0.E;2020-04-11 03:54:00;25,84;17,12
A.E.1.E;2020-04-11 03:56:00;20,88;53,01
D.E.1.A;2020-04-11 04:52:00;30,08;82,88
D.C.0.E;2020-04-11 04:52:00;14,19;36,02
C.C.2.B;2020-04-11 06:34:00;25,25;75,28
C.E.3.A;2020-04-11 06:35:00;34,63;77,01
C.C.2.E;2020-04-11 07:09:00;31,18;60,74
C.B.2.C;2020-04-11 07:27:00;12,49;8,37
B.B.0.B;2020-04-11 07:47:00;21,45;61,08
C.B.1.D;2020-04-11 09:22:00;12,62;80,06
E.D.S.B;2020-04-11 10:23:00;33,27;83,3
C.A.1.A;2020-04-11 11:06:00;24,91;46,31
E.D.3.C;2020-04-11 11:09:00;19,41;55,3
D.C.S.A;2020-04-11 11:15:00;31,27;69,29
B.A.3.B;2020-04-11 11:29:00;34,97;73,29
A.D.2.E;2020-04-11 12:31:00;13,05;10,32
B.C.S.B;2020-04-11 12:41:00;33,43;67,11
C.C.2.B;2020-04-11 12:50:00;11,12;56,11
B.C.2.E;2020-04-11 13:33:00;12,89;12,52
C.D.S.D;2020-04-11 14:33:00;10,74;26,39
E.C.0.B;2020-04-11 15:42:00;36,92;42,28
E.E.2.B;2020-04-11 16:19:00;13,34;48,12
E.A.2.E;2020-04-11 17:01:00;13,29;92,42
D.D.1.E;2020-04-11 17:02:00;33,41;81,82
D.E.3.E;2020-04-11 17:11:00;22,09;36,26
C.E.1.D;2020-04-11 17:26:00;23,95;7,15
E.C.3.C;2020-04-11 17:28:00;36,91;52,28
B.D.0.A;2020-04-11 17:32:00;33,74;23,94
B.A.0.A;2020-04-11 18:56:00;11,3;42,51
A.B.2.B;2020-04-11 19:21:00;34,21;99,46
D.C.2.A;2020-04-11 19:39:00;26,43;43,57
